conversion,clip_2_way_decoding_accuracy,normalized_clip_2_way_decoding_accuracy,split,evaluation_scope,shared_group,shared_only,pair_count
EEG to FMRI,0.616893,0.6571,test,pair,shared-eeg-fmri,True,30
FMRI to EEG,0.61583,0.6799,test,pair,shared-eeg-fmri,True,30
EEG to FMRI,0.60983,0.6496,test,three_way,shared-eeg-fmri-meg,True,30
FMRI to EEG,0.6096699999999999,0.6733,test,three_way,shared-eeg-fmri-meg,True,30
EEG to MEG,0.7289180000000001,0.8781,test,pair,shared-eeg-meg,True,40
MEG to EEG,0.7341,0.8107,test,pair,shared-eeg-meg,True,40
EEG to MEG,0.5723429999999999,0.6891,test,three_way,shared-eeg-fmri-meg,True,40
MEG to EEG,0.571412,0.6311,test,three_way,shared-eeg-fmri-meg,True,40
MEG to FMRI,0.600158,0.6394,test,pair,shared-fmri-meg,True,12
FMRI to MEG,0.602733,0.7254,test,pair,shared-fmri-meg,True,12
MEG to FMRI,0.556058,0.5925,test,three_way,shared-eeg-fmri-meg,True,12
FMRI to MEG,0.558458,0.6741,test,three_way,shared-eeg-fmri-meg,True,12
